Drug Name,Brand Name,Generic Name,PDF Links,Therapeutic Area,Recommendation,Status,Submission Date,Recommendation Date,Project Number
Keytruda for Metastatic Melano...Opens in new tab,Keytruda,Pembrolizumab,"['/sites/default/files/pcodr/pcodr_provfund_pembrolizumab_keytruda_mm.pdf', '/sites/default/files/pcodr/pcodr_pembrolizumab_keytruda_mm_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_pembrolizumab_keytruda_mm_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_pembrolizumab_keytruda_mm_fn_egr.pdf', '/sites/default/files/pcodr/pcodr_pembrolizumab_keytruda_mm_in_rec.pdf', '/sites/default/files/pcodr/pcodr_pembrolizumab_keytruda_mm_pagfdk.pdf', '/sites/default/files/pcodr/pcodr_pembrolizumab_keytruda_mm_fdk-merck.pdf', '/sites/default/files/pcodr/pcodr_pembrolizumab_keytruda_mm_ptfdk_sysf.pdf', '/sites/default/files/pcodr/pcodr_pembrolizumab_keytruda_mm_ptfdk_mnc.pdf', '/sites/default/files/pcodr/pcodr_pembrolizumab_keytruda_mm_coi_sysf.pdf', '/sites/default/files/pcodr/pcodr_pembrolizumab_keytruda_mm_coi_mnc.pdf', '/sites/default/files/pcodr/pcodr_pembrolizumab_keytruda_mm_coi_cspa.pdf']",Metastatic Melanoma,Reimburse with clinical criteria and/or conditions,Complete,16-Apr-15,16-Nov-15,PC0058-000
Cyramza for Advanced GC or GEJ...Opens in new tab,Cyramza,Ramucirumab,"['/sites/default/files/pcodr/pcodr_profund_ramucirumab_cyramza_gc.pdf', '/sites/default/files/pcodr/pcodr_ramucirumab_cyramza_gc_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_ramucirumab_cyramza_gc_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_ramucirumab_cyramza_gc_fn_egr.pdf', '/sites/default/files/pcodr/pcodr_ramucirumab_cyramza_gc_in_rec.pdf', '/sites/default/files/pcodr/pcodr_ramucirumab_cyramza_gc-pagfdk.pdf', '/sites/default/files/pcodr/pcodr_ramucirumab_cyramza_gc-fdk-elc.pdf']",Metastatic Gastric Cancer or Gastro-Esophageal Junction Adenocarcinoma,Reimburse with clinical criteria and/or conditions,Complete,15-Apr-15,29-Oct-15,PC0059-000
SecukinumabOpens in new tab,Cosentyx,Secukinumab,"['/sites/default/files/attachments/2023-11/TS0001-PsO-Updated-Streamlined-Rec.pdf', '/sites/default/files/cdr/tracking/cdr_SR0407_Cosentyx.pdf', '/sites/default/files/cdr/complete/SR0407_Cosentyx_Oct-30-15.pdf', '/sites/default/files/cdr/clinical/SR0407_Cosentyx_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0407_Cosentyx_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0407_Cosentyx_PI_Submissions.pdf']",Plaque psoriasis,List with criteria/condition,Complete,08-Dec-14,28-Oct-15,SR0407-000
VedolizumabOpens in new tab,Entyvio,Vedolizumab,"['/sites/default/files/cdr/tracking/cdr_SR0421_Entyvio.pdf', '/sites/default/files/cdr/complete/SR0421_cdr_complete_Entyvio_Nov-2-15_e.pdf', '/sites/default/files/cdr/clinical/SR0421_Entyvio_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0421_Entyvio_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0421_Entyvio_PI_Submissions.pdf']",Ulcerative colitis,List with clinical criteria and/or conditions,Complete,20-Feb-15,28-Oct-15,SR0421-000
Taliglucerase alfaOpens in new tab,Elelyso,Taliglucerase alfa,"['/sites/default/files/cdr/tracking/cdr_SR0390_Elelyso.pdf', '/sites/default/files/cdr/complete/SR0390_Elelyso_Oct-30-15.pdf', '/sites/default/files/cdr/clinical/SR0390_Elelyso_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0390_Elelyso_PE_Report.pdf']",Gaucher disease,Do not list,Complete,15-Aug-14,28-Oct-15,SR0390-000
NintedanibOpens in new tab,Ofev,Nintedanib,"['/sites/default/files/cdr/tracking/cdr_SR0426_Ofev.pdf', '/sites/default/files/cdr/complete/SR0426_Ofev_Oct-19-15.pdf', '/sites/default/files/cdr/clinical/SR0426_Ofev_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0426_Ofev_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0426_Ofev_PI_Submissions.pdf']",Idiopathic pulmonary fibrosis,List with clinical criteria and/or conditions,Complete,23-Apr-15,15-Oct-15,SR0426-000
EmpagliflozinOpens in new tab,Jardiance,Empagliflozin,"['https://www.cadth.ca/sites/default/files/DRR/2024/TS0002%20Updated%20CADTH%20Reimbursement%20Recommendations%20.pdf', 'https://www.cadth.ca/sites/default/files/cdr/relatedinfo/SR0427%20Jardiance.pdf', 'https://www.cadth.ca/sites/default/files/cdr/complete/sr0427_jardiance_oct-19-15.pdf', 'https://www.cadth.ca/sites/default/files/cdr/clinical/SR0427_Jardiance_CL_Report.pdf', 'https://www.cadth.ca/sites/default/files/cdr/pharmacoeconomic/SR0427_Jardiance_PE_Report.pdf', 'https://www.cadth.ca/sites/default/files/cdr/relatedinfo/SR0427_Jardiance_PI_Submissions.pdf']","Diabetes mellitus, type 2",List with clinical criteria and/or conditions,Complete,23-Apr-15,15-Oct-15,SR0427-000
Iclusig for Chronic Myeloid Le...Opens in new tab,Iclusig,Ponatinib,"['/sites/default/files/pcodr/pcodr_provfund_iclusig_cml-all.pdf', '/sites/default/files/pcodr/pcodr_ponatinib_iclusig_cml-all_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_ponatinib_iclusig_cml-all_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_ponatinib_iclusig_cml-all_fn_egr.pdf', '/sites/default/files/pcodr/pcodr_ponatinib_iclusig_cml_all_in_rec.pdf', '/sites/default/files/pcodr/pcodr_ponatinib_iclusig_cml-all_pagfdk.pdf', '/sites/default/files/pcodr/pcodr_ponatinib_iclusig_cml-all_fdk_ariad.pdf']",Chronic Myeloid Leukemia/ Acute Lymphoblastic Leukemia,Reimburse with clinical criteria and/or conditions,Complete,13-Mar-15,01-Oct-15,PC0056 -000
LinaclotideOpens in new tab,Constella,Linaclotide,"['/sites/default/files/cdr/tracking/cdr_SR0409_Constella.pdf', '/sites/default/files/cdr/complete/SR0409_Constella_%20Sept_25-15.pdf', '/sites/default/files/cdr/clinical/SR0409_Constella_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0409_Constella_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0409_Constella_PI_Submissions.pdf']",Irritable bowel syndrome with constipation,Do not list,Complete,17-Dec-14,23-Sep-15,SR0409-000
DaclatasvirOpens in new tab,Daklinza,Daclatasvir,"['/sites/default/files/cdr/tracking/cdr_SR0417_Daklinza.pdf', '/sites/default/files/cdr/complete/SR0417_cdr_complete_Daklinza_Sept-23-15_e.pdf', '/sites/default/files/cdr/clinical/SR0417_Daklinza_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0417_Daklinza_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0417%20Daklinza_PI_Submissions.pdf']","Hepatitis C, Chronic",List with clinical criteria and/or conditions,Complete,13-Feb-15,21-Sep-15,SR0417-000
Denosumab (Drug Plan Submissio...Opens in new tab,Prolia,Denosumab (Drug Plan Submission),"['/sites/default/files/cdr/tracking/cdr_SR0414_Prolia-Men.pdf', '/sites/default/files/cdr/complete/SR0414_cdr_complete_Prolia-Men_Sept-21-15-e.pdf', '/sites/default/files/cdr/clinical/SR0414_ProliaMen_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0414_ProliaMen_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0414_ProliaMen_PI_Submissions.pdf']","Osteoporosis, men",List with clinical criteria and/or conditions,Complete,10-Mar-15,21-Sep-15,SR0414-000
UmeclidiniumOpens in new tab,Incruse Ellipta,Umeclidinium,"['/sites/default/files/cdr/tracking/cdr_SR0422_Incruse-Ellipta.pdf', '/sites/default/files/cdr/complete/SR0422_Incruse_Ellipta_Sept-22-15.pdf', '/sites/default/files/cdr/clinical/SR0422_Incruse_Ellipta_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0422_Incruse_Ellipta_PE_Report.pdf']",Chronic obstructive pulmonary disease,List with criteria/condition,Complete,04-Mar-15,18-Sep-15,SR0422-000
Aclidinium bromide/formoterol ...Opens in new tab,Duaklir Genuair,Aclidinium bromide/formoterol fumarate dihydrate,"['/sites/default/files/cdr/tracking/cdr_SR0423_Duaklir_Genuair.pdf', '/sites/default/files/cdr/complete/SR0423_Duaklir_Genuair_Sept-22-15-e.pdf', '/sites/default/files/cdr/relatedinfo/SR0423_DuaklirGenuair_PI.pdf', '/sites/default/files/cdr/relatedinfo/SR0423_DuaklirGenuair_FDC_Report.pdf']",Chronic obstructive pulmonary disease,List with clinical criteria and/or conditions,Complete,01-Apr-15,18-Sep-15,SR0423-000
Zydelig for Chronic Lymphocyti...Opens in new tab,Zydelig,Idelalisib,"['/sites/default/files/pcodr/pcodr-provfund_idelalisib-zydelig-cll.pdf', '/sites/default/files/pcodr/pcodr_idelalisib_zydelig_cll_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_idelalisib_zydelig_cll_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_idelalisib_zydelig_cll_fn_egr.pdf', '/sites/default/files/pcodr/Idelalisib%20Initial%20Recommendation_%202015-07-30_AC_30July2015_FinalPost.pdf', '/sites/default/files/pcodr/pcodr_idelalisib_zydelig_cll_pagfdk.pdf', '/sites/default/files/pcodr/pcodr_idelalisib_zydelig_cll_API.pdf', '/sites/default/files/pcodr/pcodr_idelalisib_zydelig_cll_ptfdk_lc.pdf', '/sites/default/files/pcodr/pcodr_idelalisib_zydelig_cll_coi_lc.pdf', '/sites/default/files/pcodr/pcodr_idelalisib_zydelig_cll_ptfdk_cllpag_llsc.pdf', '/sites/default/files/pcodr/pcodr_idelalisib_zydelig_cll_coi_cllpag.pdf', '/sites/default/files/pcodr/pcodr_idelalisib_zydelig_cll_coi_llsc.pdf']",Chronic lymphocytic leukemia,Reimburse with clinical criteria and/or conditions,Complete,07-Apr-15,18-Aug-15,PC0057-000
ApremilastOpens in new tab,Otezla,Apremilast,"['/sites/default/files/cdr/tracking/cdr_SR0400_Otezla.pdf', '/sites/default/files/cdr/complete/SR0400-Otezla-Aug-10-15-e.pdf', '/sites/default/files/cdr/clinical/SR0400_Otezla_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0400_Otezla_PE_Report.pdf']",Plaque psoriasis,Do not list,Complete,08-Oct-14,22-Jul-15,SR0400-000
Xalkori Resubmission for First...Opens in new tab,Xalkori,Crizotinib,"['/sites/default/files/pcodr/pcodr-provfund_xalkori_nsclc1stline.pdf', '/sites/default/files/pcodr/pcodr_xalkori_1stln_nsclc_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_xalkori_1stln_nsclc_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_xalkori_1stln_nsclc_fn_egr.pdf', '/sites/default/files/pcodr/pcodr_xalkori_1stln_nsclc_in_rec.pdf', '/sites/default/files/pcodr/pcodr_xalkori_1stln_nsclc_pagfdk.pdf', '/sites/default/files/pcodr/pcodr_xalkori_1stln_nsclc_fdk_pfizer.pdf', '/sites/default/files/pcodr/pcodr_xalkori_1stln_nsclc_coi_ola.pdf', '/sites/default/files/pcodr/pcodr_xalkori_1stln_nsclc_coi_lcc.pdf']",First Line ALK Positive Advanced NSCLC,Reimburse with clinical criteria and/or conditions,Complete,17-Feb-15,21-Jul-15,PC0054-000
Tafinlar &amp; Mekinist in com...Opens in new tab,Tafinlar & Mekinist in combo,Dabrafenib & Trametinib in combo,"['/sites/default/files/pcodr/pcodr-provfund_tafinlarmekinist_melanoma.pdf', '/sites/default/files/pcodr/pcodr_tafinlar_mekinist_metmelanoma_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_tafinlar_mekinist_metmelanoma_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_tafinlar_mekinist_metmelanoma_fn_egr.pdf', '/sites/default/files/pcodr/pcodr_tafinlar_mekinist_metmelanoma_in_rec.pdf', '/sites/default/files/pcodr/pcodr_tafinlar_mekinist_metmelanoma_pagfdk.pdf', '/sites/default/files/pcodr/pcodr_tafinlar_mekinist_metmelanoma_fdk_gsm.pdf', '/sites/default/files/pcodr/pcodr_tafinlar_mekinist_metmelanoma_ptfdk_mnc.pdf', '/sites/default/files/pcodr/pcodr_tafinlar_mekinist_metmelanoma_ptfdk_sysf.pdf', '/sites/default/files/pcodr/pcodr_tafinlar_mekinist_metmelanoma_coi_mnc.pdf', '/sites/default/files/pcodr/pcodr_tafinlar_mekinist_metmelanoma_coi_sysf.pdf']",Metastatic Melanoma,Reimburse with clinical criteria and/or conditions,Complete,13-Feb-15,21-Jul-15,PC0053-000
Avastin (with capecitabine) fo...Opens in new tab,Avastin (with capecitabine),Bevacizumab,"['/sites/default/files/pcodr/pcodr_provfund_avastin-capecitabine_mcrc.pdf', '/sites/default/files/pcodr/pcodr_avastin_capecitabine_mcrc_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_avastin_capecitabine_mcrc_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_avastin_capecitabine_mcrc_fn_egr.pdf', '/sites/default/files/pcodr/pcodr_avastin_capecitabine_mcrc_in_rec.pdf', '/sites/default/files/pcodr/pcodr_avastin_capecitabine_mcrc_pagfdk.pdf', '/sites/default/files/pcodr/pcodr_avastin_capecitabine_mcrc_fdk_roche.pdf', '/sites/default/files/pcodr/pcodr_avastin_capecitabine_mcrc_ptfdk_ccac.pdf', '/sites/default/files/pcodr/pcodr_avastin_capecitabine_mcrc_coi_ccac.pdf']",Metastatic Colorectal Cancer,Reimburse with clinical criteria and/or conditions,Complete,18-Feb-15,21-Jul-15,PC0055-000
Tiotropium bromideOpens in new tab,Spiriva Respimat,Tiotropium bromide,"['/sites/default/files/cdr/relatedinfo/SR0412%20Spiriva%20Respimat.pdf', '/sites/default/files/cdr/complete/SR0412-complete-Spiriva-Respimat-July-20-15-e.pdf', '/sites/default/files/cdr/clinical/SR0412_SpirivaRespimat_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0412_SpirivaRespimat_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0412_SpirivaRespimat_PI_Submissions.pdf']",Chronic obstructive pulmonary disease,List with clinical criteria and/or conditions,Complete,23-Dec-14,16-Jul-15,SR0412-000
Nexavar for Metastatic Progres...Opens in new tab,Nexavar,Sorafenib,"['/sites/default/files/pcodr/pcodr-provfund_sorafenib_nexavar_dtc.pdf', '/sites/default/files/pcodr/pcodr_sorafenib_nexavar_dtc_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_sorafenib_nexavar_dtc_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_sorafenib_nexavar_dtc_fn_egr.pdf', '/sites/default/files/pcodr/pcodr_sorafenib_nexavar_dtc_in_rec.pdf', '/sites/default/files/pcodr/pcodr_sorafenib_nexavar_dtc_pagfdk.pdf', '/sites/default/files/pcodr/pcodr_sorafenib_nexavar_dtc_fdk_bayer.pdf', '/sites/default/files/pcodr/pcodr_sorafenib_nexavar_dtc_ptfdk_tcc.pdf', '/sites/default/files/pcodr/pcodr_sorafenib_nexavar_dtc_coi_tcc.pdf']",Metastatic Progressive Differentiated Thyroid Carcinoma (DTC),Do not reimburse,Complete,19-Dec-14,16-Jul-15,PC0049-000
Perjeta or Perjeta-Herceptin C...Opens in new tab,Perjeta or Perjeta-Herceptin Combo Pack,Pertuzumab,"['/sites/default/files/pcodr/pcodr-provfund_pertuzumab_perjeta_nbc.pdf', '/sites/default/files/pcodr/pcodr_pertuzumab_perjeta_nbc_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_pertuzumab_perjeta_nbc_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_pertuzumab_perjeta_nbc_fn_egr.pdf', '/sites/default/files/pcodr/pcodr_pertuzumab_perjeta_nbc_in_rec.pdf', '/sites/default/files/pcodr/pcodr_pertuzumab_perjeta_nbc_pagfdk.pdf', '/sites/default/files/pcodr/pcodr_pertuzumab_perjeta_nbc_fdk_roche.pdf', '/sites/default/files/pcodr/pcodr_pertuzumab_perjeta_nbc_ptfdk_cbcn.pdf', '/sites/default/files/pcodr/pcodr_pertuzumab_perjeta_nbc_coi_cbcn.pdf']",Neoadjuvant Breast Cancer,Do not reimburse,Complete,19-Dec-14,16-Jul-15,PC0050-000
Stivarga Resubmission for mCRC...Opens in new tab,Stivarga Resubmission (CRC),Regorafenib,"['/sites/default/files/pcodr/pcodr-provfund_regorafenib_stivarga-resub_mcrc.pdf', '/sites/default/files/pcodr/pcodr_regorafenib_stivarga_resub_mcrc_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_regorafenib_stivarga_resub_mcrc_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_regorafenib_stivarga_resub_mcrc_fn_egr.pdf', '/sites/default/files/pcodr/pcodr_regorafenib_stivarga_resub_mcrc_in_rec.pdf', '/sites/default/files/pcodr/pcodr_regorafenib_stivarga_resub_mcrc_pagfdk.pdf', '/sites/default/files/pcodr/pcodr_regorafenib_stivarga_resub_mcrc_fdk_bayer.pdf', '/sites/default/files/pcodr/pcodr_regorafenib_stivarga_resub_mcrc_ptfdk_ccac.pdf', '/sites/default/files/pcodr/pcodr_regorafenib_stivarga_resub_mcrc_coi_ccac.pdf']",Metastatic Colorectal Cancer,Do not reimburse,Complete,19-Dec-14,16-Jul-15,PC0046-000
Xtandi First Line mCRPC - Deta...Opens in new tab,Xtandi,Enzalutamide,"['/sites/default/files/pcodr/pcodr-provfund_xtandi_mcrpc1stline.pdf', '/sites/default/files/pcodr/pcodr_enzalutamide_xtandi_1stln_mcrpc_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_enzalutamide_xtandi_1stln_mcrpc_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_enzalutamide_xtandi_1stln_mcrpc_fn_egr.pdf', '/sites/default/files/pcodr_enzalutamide_xtandi_1stln_mcrcp_in_rec.pdf', '/sites/default/files/pcodr/pcodr_enzalutamide_xtandi_1stln_mcrpc_pagfdk.pdf', '/sites/default/files/pcodr/pcodr_enzalutamide_xtandi_1stln_mcrpc_fdbk_astellas.pdf', '/sites/default/files/pcodr/pcodr_enzalutamide_xtandi_1stln_mcrpc_ptfdk_pcc.pdf', '/sites/default/files/pcodr/pcodr_enzalutamide_xtandi_1stln_mcrpc_coi_pcc.pdf']",First Line Metastatic Castration-Resistant Prostate Cancer,Reimburse with clinical criteria and/or conditions,Complete,02-Oct-14,22-Jun-15,PC0044-000
Proleukin for In-transit Melan...Opens in new tab,Proleukin,Aldesleukin (IL-2),"['/sites/default/files/pcodr/pcodr-provfund_proleukin-melanoma.pdf', '/sites/default/files/pcodr/pcodr_aldesleukin_proleukin_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_adesleukin_proleukin_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_adesleukin_proleukin_fn_egr.pdf', '/sites/default/files/pcodr/pcodr-aldesleukin-proleukin-in-transit-melanoma-in-rec.pdf', '/sites/default/files/pcodr/pcodr_adesleukin_proleukin_pagfdk_0.pdf', '/sites/default/files/pcodr/pcodr_adesleukin_proleukin_fdk_novartis.pdf', '/sites/default/files/pcodr/pcodr_adesleukin_proleukin_ptfdk_mnc.pdf', '/sites/default/files/pcodr/pcodr_adesleukin_proleukin_coi_mnc.pdf', '/sites/default/files/pcodr/pcodr_adesleukin_proleukin_coi_sysf.pdf']",In-transit Melanoma,Reimburse,Complete,30-Jan-15,22-Jun-15,PC0051-000
Sylvant Multicentric Castleman...Opens in new tab,Sylvant,Siltuximab,"['/sites/default/files/pcodr/pcodr_provfund_sylvant_mcd.pdf', '/sites/default/files/pcodr/pcodr_siltuximab_sylvant_mcd_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_siltuximab_sylvant_mcd_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_siltuximab_sylvant_mcd_fn_egr.pdf', '/sites/default/files/pcodr/pcodr_siltuximab_sylvant_mcd_in_rec.pdf', '/sites/default/files/pcodr/pcodr_siltuximab_sylvant_mcd_pagfdk.pdf', '/sites/default/files/pcodr/pcodr_siltuximab_sylvant_mcd_fdk_janssen.pdf', '/sites/default/files/pcodr/pcodr_siltuximab_sylvant_mcd_coi_cord.pdf']",Multicentric Castleman's disease (MCD),Reimburse with clinical criteria and/or conditions,Complete,30-Jan-15,22-Jun-15,PC0052-000
AlemtuzumabOpens in new tab,Lemtrada,Alemtuzumab,"['/sites/default/files/cdr/tracking/cdr_SR0405_Lemtrada.pdf', '/sites/default/files/cdr/complete/cdr-complete-SR0405-Lemtrada-June-22-2015.pdf', '/sites/default/files/cdr/clinical/SR0405_Lemtrada_RRMS_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0405_Lemtrada_RRMS_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0405%20Lemtrada_RRMS_PI_Submissions.pdf']","Multiple sclerosis, relapsing-remitting",List with criteria/condition,Complete,27-Nov-14,18-Jun-15,SR0405-000
Ombitasvir/paritaprevir/ritona...Opens in new tab,Holkira Pak,Ombitasvir/paritaprevir/ritonavir and dasabuvir,"['/sites/default/files/cdr/tracking/SR0406%20Holkira%20Pak.pdf', '/sites/default/files/cdr/complete/SR0406-Holkira-Pak-July-22-15-e.pdf', '/sites/default/files/cdr/clinical/SR0406_HolkiraPak_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0406_HolkiraPak_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0406_HolkiraPak_PI_Submissions.pdf']","Hepatitis C, chronic",List with clinical criteria and/or conditions,Complete,03-Dec-14,18-Jun-15,SR0406-000
Brinzolamide / brimonidineOpens in new tab,Simbrinza,Brinzolamide / brimonidine,"['/sites/default/files/cdr/tracking/cdr_SR0403_Simbrinza.pdf', '/sites/default/files/cdr/complete/cdr_complete_SR0403_Simbrinza_June-19_2015.pdf', '/sites/default/files/cdr/relatedinfo/SR0403_Simbrinza_PI_Submissions.pdf', '/sites/default/files/cdr/relatedinfo/SR0403_Simbrinza_FDC_Review_Report.pdf']",Glaucoma and ocular hypertension,List,Complete,03-Nov-14,17-Jun-15,SR0403-000
Azelastine  HCl and fluticason...Opens in new tab,Dymista,Azelastine  HCl and fluticasone propionate,"['/sites/default/files/cdr/tracking/cdr_SR0408_Dymista.pdf', '/sites/default/files/cdr/complete/cdr_complete_SR0408_Dymista_June-19-2015.pdf', '/sites/default/files/cdr/clinical/SR0408_Dymista_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0408_Dymista_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0408_Dymista_PI_Submissions.pdf']",Seasonal allergic rhinitis,Do not list,Complete,09-Dec-14,17-Jun-15,SR0408-000
Avastin for Ovarian Cancer - D...Opens in new tab,Avastin,Bevacizumab,"['/sites/default/files/pcodr/pcodr_provfund_avastin-oc.pdf', '/sites/default/files/pcodr/pcodr_bevacizumab_avastin_oc-fn_rec.pdf', '/sites/default/files/pcodr/pcodr_bevacizumab_avastin_oc-fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_bevacizumab_avastin_oc-fn_egr.pdf', '/sites/default/files/pcodr/pcodr_bevacizumab_avastin_oc_in_rec.pdf', '/sites/default/files/pcodr/pcodr_bevacizumab_avastin_oc_pagfdk.pdf', '/sites/default/files/pcodr/pcodr_bevacizumab_avastin_oc_fdk_hlroche.pdf', '/sites/default/files/pcodr/pcodr_bevacizumab_avastin_oc_ptfdk_occ.pdf', '/sites/default/files/pcodr/pcodr_bevacizumab_avastin_oc_coi_occ_0.pdf']",Ovarian Cancer,Reimburse with clinical criteria and/or conditions,Complete,28-Nov-14,04-Jun-15,PC0047-000
Istodax for Peripheral T-Cell ...Opens in new tab,Istodax,Romidepsin,"['/sites/default/files/pcodr/pcodr_provfund_istodax_ptcl.pdf', '/sites/default/files/pcodr/pcodr_romidepsin_istodax_ptcl_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_romidepsin_istodax_ptcl_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_romidepsin_istodax_ptcl_fn_egr.pdf', '/sites/default/files/pcodr/pcodr_romidepsin_istodax_ptcl_in_rec.pdf', '/sites/default/files/pcodr/pcodr_romidepsin_istodax_ptcl_pagfdk.pdf', '/sites/default/files/pcodr/pcodr_romidepsin_istodax_ptcl_fdk_celgene.pdf']",Peripheral T-Cell Lymphoma,Reimburse with clinical criteria and/or conditions,Complete,01-Dec-14,19-May-15,PC0048-000
