Title,Brand Name,Generic Name,PDF Links,Therapeutic Area,Recommendation,Status,Submission Date,Recommendation Date,Project Number
keytruda non squamous nsclc,Keytruda,Pembrolizumab,https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10153PembroNSQ-NSCLC_ClinicianFeedback_CCO_2019-04-18_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10153PembroNSQ-NSCLC_Clinician_Combined%20COIs_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10153PembroNSQ-NSCLC_FnRec_approvedbyChair_Post_NOREDACT_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10153PembroNSQ-NSCLC_InRec_POST04Apr2019_NOREDACT_corrected.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10153PembroNSQ-NSCLC_PAGFeedbackSummary_FINAL_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10153PembroNSQ-NSCLC_Patient_Combined%20COIs_ForPosting_31May2019.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10153PembroNSQ-NSCLC_SubmitterFeedback_2019-04-18_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10153PembroNSQ-NSCLC_fnCGR_REDACT_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10153PembroNSQ-NSCLC_fnEGR_NOREDACT-ABBREV_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-provfund-10153-pembrolizumab-keytruda-non-squamous_nsclc.pdf,Nonsquamous NSCLC,Reimburse with clinical criteria and/or conditions,Complete,"Sep 14, 2018","May 31, 2019",PC0153-000
venclexta combo rituximab chronic lymphocytic leukemia,Venclexta in combo Rituximab,Venetoclax,https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10162VenetoclaxRituximabCLL_ClinicianFeedback_CCO_2019-04-18_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10162VenetoclaxRituximabCLL_Clinician_Combined_COIs_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10162VenetoclaxRituximabCLL_FnRec_approvedbyChair_REDACT_Post_31May2019-final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10162VenetoclaxRituximabCLL_InRec_POST04Apr2019_REDACT_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10162VenetoclaxRituximabCLL_PAGFeedbackSummary_FINAL_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10162VenetoclaxRituximabCLL_PatientFeedback_LC_CLLPAG_2019-04-17_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10162VenetoclaxRituximabCLL_Patient_Combined_COIs_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10162VenetoclaxRituximabCLL_SubmitterFeedback_2019-04-18_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10162VenetoclaxRituximabCLL_fnCGR_REDACT_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10162VenetoclaxRituximabCLL_fnEGR_NOREDACT-ABBREV_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr_provfund_10162_venetoclax_venclexta_and_rituximab.pdf,Chronic Lymphocytic Leukemia (CLL),Reimburse with clinical criteria and/or conditions,Complete,"Oct 24, 2018","May 31, 2019",PC0162-000
vizimpro non small cell lung cancer,Vizimpro,Dacomitinib,https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10129DacomitinibNSCLC_ClinicianFeedback_CCO_2019-04-18_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10129DacomitinibNSCLC_Clinician_Combined_COIs_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10129DacomitinibNSCLC_FnRec_approvedbyChair_Post_NOREDACT_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10129DacomitinibNSCLC_InRec_POST04Apr2019_NOREDACT_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10129DacomitinibNSCLC_PAGFeedbackSummary_FINAL_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10129DacomitinibNSCLC_Patient_Combined_COIs_ForPosting_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10129DacomitinibNSCLC_SubmitterFeedback_2019-04-18_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10129DacomitinibNSCLC_fnCGR_NOREDACT_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10129DacomitinibNSCLC_fnEGR_NOREDACT-ABBREV_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-provfund-10129-dacomitinib-vizimpro.pdf,Non-Small Cell Lung Cancer,Reimburse with clinical criteria and/or conditions,Complete,"Sep 19, 2018","May 31, 2019",PC0129-000
risankizumab,Skyrizi,risankizumab,https://www.cda-amc.ca/sites/default/files/attachments/2023-11/TS0001-PsO-Updated-Streamlined-Rec.pdf; https://www.cda-amc.ca/sites/default/files/cdr/clinical/sr0583-skyrizi-clinical-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/SR0583%20Skyrizi%20-%20CDEC%20Final%20Recommendation%20May%2028%2C%202019_For%20posting.pdf; https://www.cda-amc.ca/sites/default/files/cdr/pharmacoeconomic/sr0583-skyrizi-pharmacoeconomic-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/sr0583-risankizumab-patient-input.pdf,"Psoriasis, moderate to severe plaque",Reimburse with clinical criteria and/or conditions,Complete,"Oct 22, 2018","May 28, 2019",SR0583-000
cerliponase alfa,Brineura,cerliponase alfa,https://www.cda-amc.ca/sites/default/files/cdr/clinical/sr0574-brineura-clinical-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/SR0574%20Brineura%20-%20Final%20CDEC%20Recommendation%20May%2027%2C%202019_for%20posting.pdf; https://www.cda-amc.ca/sites/default/files/cdr/pharmacoeconomic/sr0574-brineura-pharmacoeconomic-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/sr0574-brineura-patient-input.pdf,Neuronal Ceroid Lipofuscinosis Type 2,Reimburse with clinical criteria and/or conditions,Complete,"Jul 31, 2018","May 23, 2019",SR0574-000
efinaconazole,Jublia,efinaconazole,https://www.cda-amc.ca/sites/default/files/cdr/clinical/sr0577-jublia-clinical-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/SR0577%20Jublia%20-%20%20CDEC%20Final%20Recommendation%20May%2027%2C%202019_for%20posting.pdf; https://www.cda-amc.ca/sites/default/files/cdr/pharmacoeconomic/sr0577-jublia-pharmacoeconomic-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/sr0577-jublia_patient-input.pdf,Onychomycosis,Do not reimburse,Complete,"Aug 2, 2018","May 23, 2019",SR0577-000
xalkori ros1 positive advanced non small cell lung cancer,Xalkori,Crizotinib,https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10151CrizotinibNSCLC_ClinicianFeedback_LCC_2019-05-17_Post_23May2019_final_cleaned.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10151CrizotinibNSCLC_Combined_COI_Post_23May2019_final_Redacted.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10151CrizotinibNSCLC_Combined_COIs_Post_23May2019.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10151CrizotinibNSCLC_PAGFeedbackSummary_Post_23May2019_final_cleaned.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10151CrizotinibNSCLC_PatientFeedback_LCC_2019-05-17_Post_23May2019_final_cleaned.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10151CrizotinibNSCLC_SubmitterFeedback_2019-05-17_Post_23May2019_final_cleaned.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10151CrizotinibNSCLC_fnCGR_EC_NOREDACT_Post_23May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10151CrizotinibNSCLC_fnEGR_EC_NOREDACT-ABBREV_Post_23May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10151CrizotinibNSCLC_fnRec_EC_approvedbyChair_Post_23May2019_final_cleaned.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10151CrizotinibNSCLC_inRec_03May2019_approvedbyChair_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-provfund-10151-crizotinib-xalkori-ROS-positive.pdf,ROS1-positive advanced non-small cell lung cancer (NSCLC),Reimburse with clinical criteria and/or conditions,Complete,"Oct 30, 2018","May 23, 2019",PC0151-000
semaglutide,Ozempic,semaglutide,https://www.cadth.ca/sites/default/files/DRR/2024/TS0002%20Updated%20CADTH%20Reimbursement%20Recommendations%20.pdf; https://www.cadth.ca/sites/default/files/cdr/clinical/sr0594-ozempic-clinical-review-report.pdf; https://www.cadth.ca/sites/default/files/cdr/complete/SR0594%20Ozempic%20-%20CDEC%20Final%20Recommendation%20May%2017%2C%202019%20%28redacted%29_For%20posting.pdf; https://www.cadth.ca/sites/default/files/cdr/pharmacoeconomic/sr0594-ozempic-pharmacoeconomic-review-report.pdf; https://www.cadth.ca/sites/default/files/cdr/relatedinfo/sr0594-ozempic-patient-input.pdf,"Diabetes mellitus, type 2",Reimburse with clinical criteria and/or conditions,Complete,"Nov 23, 2018","May 15, 2019",SR0594-000
isavuconazole,Cresemba,isavuconazole,https://www.cda-amc.ca/sites/default/files/cdr/clinical/sr0586-cresemba-clinical-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/SR0586%20Cresemba%20-%20CDEC%20Final%20Recommendation%20May%2017%2C%202019_for%20posting.pdf; https://www.cda-amc.ca/sites/default/files/cdr/pharmacoeconomic/sr0586-cresemba-pharmacoeconomic-review-report.pdf,Treatment of invasive aspergillosis and mucormycosis,Reimburse with clinical criteria and/or conditions,Complete,"Nov 2, 2018","May 15, 2019",SR0586-000
doravirine lamuvidine tenofovir disoproxil fumarate,Delstrigo,doravirine lamuvidine tenofovir disoproxil fumarate,https://www.cda-amc.ca/sites/default/files/cdr/complete/SR0581%20Delstrigo%20-%20CDEC%20Final%20Recommendation%20May%2016%2C%202019%20for%20posting.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/SR0581%20Delstrigo%20-%20Patient%20Input%20for%20Posting.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/sr0581-delstrigo-cdr-new-combination-report.pdf,HIV-1 infection,Reimburse with clinical criteria and/or conditions,Complete,"Nov 16, 2018","May 14, 2019",SR0581-000
doravirine,Pifeltro,doravirine,https://www.cda-amc.ca/sites/default/files/cdr/clinical/sr0582-pifeltro-clinical-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/SR0582%20Pifeltro%20-%20CDEC%20Final%20Recommendation%20May%2016%2C%202019%20for%20posting.pdf; https://www.cda-amc.ca/sites/default/files/cdr/pharmacoeconomic/sr0582-pifeltro-pharmacoeconomic-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/sr0582-pifeltro-patient-input.pdf,HIV-1 infection,Reimburse with clinical criteria and/or conditions,Complete,"Nov 16, 2018","May 14, 2019",SR0582-000
tafinlar mekinist combo melanoma adjuvant therapy,Tafinlar & Mekinist in combo,Dabrafenib & Trametinib in combo,https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10152%20Dabrafenib-Trametinib%20MAT_inRec_Approved%20by%20Chair_REDACT_Post_07Mar2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10152DabrafenibTrametinibMAT_ClinicianCOI_Combined_Post_03May2019_final_Redacted.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10152DabrafenibTrametinibMAT_ClinicianFeedback_CCO_2019-03-14_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10152DabrafenibTrametinibMAT_Final%20Recc_Approved%20by%20Chair_2May2019_REDACT_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10152DabrafenibTrametinibMAT_PAGFeedbackSummary_FINAL_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10152DabrafenibTrametinibMAT_PatientCOI_Combined_Post_03May2019_final_Redacted.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10152DabrafenibTrametinibMAT_SubmitterFeedback_2019-03-12_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10152DabrafenibTrametinibMAT_fnCGR_REDACT_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10152DabrafenibTrametinibMAT_fnEGR_NOREDACT-ABBREV_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-provfund_10152_dabrafenib_trametinib_and_tafinlar_mekinist.pdf,Melanoma Adjuvant Therapy,Reimburse with clinical criteria and/or conditions,Complete,"Sep 21, 2018","May 3, 2019",PC0152-000
imfinzi non small cell lung cancer,Imfinzi,Durvalumab,https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10131DurvalumabNSCLC_ClinicianFeedback_CCO_2019-03-21_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10131DurvalumabNSCLC_Combined_ClinicianCOI_Post_03May2019_final_Redacted.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10131DurvalumabNSCLC_Combined_PatientCOI_2018-10-05_Post_03May2019_final_Redacted.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10131DurvalumabNSCLC_PAGFeedbackSummary_FINAL_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10131DurvalumabNSCLC_SubmitterFeedback_2019-03-21_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10131DurvalumabNSCLC_fnCGR_NOREDACT_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10131DurvalumabNSCLC_fnEGR_NOREDACT-ABBREV_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10131DurvalumabNSCLC_fnRec_02May2019_approvedbyChair_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10131DurvalumabNSCLC_inRec_approvedbyChair_06Mar2019_Post_07Mar2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr_profund_durvalumabImfinzi_nsclc.pdf,Unresectable Non-Small Cell Lung Cancer (NSCLC),Reimburse with clinical criteria and/or conditions,Complete,"Sep 21, 2018","May 3, 2019",PC0131-000
ibrance faslodex advanced or metastatic breast cancer,Ibrance (with Faslodex),Palbociclib (with Fulvestrant),https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10150%20PalbociclibFulvestrantMBC_fnRec_2019-05-03_Approved_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10150PalbociclibFulvestrantMBC_ClinicianFeedback_CCO_2019-03-22_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10150PalbociclibFulvestrantMBC_Combined_ClinicianICOI_Post_03May2019_final_Redacted.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10150PalbociclibFulvestrantMBC_Combined_PatientCOI_RBC_Posting_03May2019_Redacted_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10150PalbociclibFulvestrantMBC_PAGFeedbackSummary_FINAL_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10150PalbociclibFulvestrantMBC_SubmitterFeedback_2019-03-21_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10150PalbociclibFulvestrantMBC_fnCGR_NOREDACT_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10150PalbociclibFulvestrantMBC_fnEGR_NOREDACT-ABBREV_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10150PalbociclibFulvestrantMBC_inRec_2019-03-06_ChairApproved_NOREDACT_Post_07Mar2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr_provfund-10150-ibrance-faslodex-mbc.pdf,"Palbociclib (Ibrance) in combination with fulvestrant for hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative locally advanced or metastatic breast cancer",Reimburse with clinical criteria and/or conditions,Complete,"Sep 28, 2018","May 3, 2019",PC0150-000
blincyto philadelphia chromosome positive b cell precursor acute lymphoblastic leukemia,Blincyto,Blinatumomab,https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10146BlinatumomabPh%2BALL_ClinicianFeedback_CCO_2019-02-14_Post_04Apr2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10146BlinatumomabPh%2BALL_ClinicianInputCOI_Combined_04Apr2019_post_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10146BlinatumomabPh%2BALL_FnCGR_04April2019_REDACT_POST_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10146BlinatumomabPh%2BALL_FnRec_04Apr2019_REDACT_post_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10146BlinatumomabPh%2BALL_PatientGroupCOI_LLSC_2018-09-14_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10146BlinatumomabPh%2BALL_SubmitterFeedback_2019-02-19_Post_04Apr2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10146BlinatumomabPh%2BALL_fnEGR_NOREDACT-ABBREV_POST04Apr2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10146Blinatumomab_Ph%2BALL_PAGFeedbackSummary_FINAL_Post_04Apr2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10146_BlinatumomabPh%2BALL_InRec_AprovedbyChair_REDACT_31Jan2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr_profung_10146_blinatumomab_blincyto-all.pdf,Philadelphia chromosome positive (Ph+) B-cell precursor (BCP) acute lymphoblastic leukemia (ALL),Reimburse with clinical criteria and/or conditions,Complete,"Aug 31, 2018","Apr 4, 2019",PC0146-000
folotyn peripheral t cell lymphoma,Folotyn,Pralatrexate,https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10138PralatrexatePTCL_ClinicianCOI_Combined_Post_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10138PralatrexatePTCL_ClinicianFeedback_CCO_2019-02-14_Post_04Apr2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10138PralatrexatePTCL_InRec_31Jan2019_approvedbyChair_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10138PralatrexatePTCL_PatientCOI_LC_2018-06-15_Post_04Apr2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10138PralatrexatePTCL_PatientFeedback_LC_2019-02-14_Post_04Apr2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10138PralatrexatePTCL_SubmitterFeedback_2019-02-14_Post_04Apr2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10138PralatrexatePTCL_fnCGR_NOREDACT_POST04Apr2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10138PralatrexatePTCL_fnEGR_NOREDACT-ABBREV_POST04Apr2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10138PralatrexatePTCL_fnRec__04Apr2019_NOREDACT_post_final2.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10138Pralatrexate_PTCL_PAGFeedbackSummary_FINAL_Post_04Apr2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr_provfund_10138_pralatrexate_folotyn.pdf,Peripheral T-Cell Lymphoma (PTCL),Reimburse with clinical criteria and/or conditions,Complete,"Jun 1, 2018","Apr 4, 2019",PC0138-000
reslizumab,Cinqair,reslizumab,https://www.cda-amc.ca/sites/default/files/cdr/advice/sf0591-cinqair-request-for-advice.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/sf0591-cinqair-cdec-rec-march-29-19.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/sf0591-cinqair-patient-input.pdf,"Asthma, eosinophilic",Reimburse with clinical criteria and/or conditions,Complete,"Oct 24, 2018","Mar 27, 2019",SF0591-000
benralizumab,Fasenra,benralizumab,https://www.cda-amc.ca/sites/default/files/cdr/advice/sf0592-fasenra-request-for-advice.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/sf0592-fasenra-cdec-rec-march-29-19.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/sf0592-fasenra-patient-input.pdf,"Asthma, severe eosinophilic",Reimburse with clinical criteria and/or conditions,Complete,"Oct 24, 2018","Mar 27, 2019",SF0592-000
mepolizumab,Nucala,mepolizumab,https://www.cda-amc.ca/sites/default/files/cdr/advice/sf0593-nucala-request-for-advice.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/sf0593-nucala-cdec-rec-march-29-19.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/sf0593-nucala-patient-input.pdf,"Asthma, severe eosinophilic",Reimburse with clinical criteria and/or conditions,Complete,"Oct 24, 2018","Mar 27, 2019",SF0593-000
crisaborole,Eucrisa,crisaborole,https://www.cda-amc.ca/sites/default/files/cdr/clinical/sr0570-eucrisa-clinical-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/SR0570-Eucrisa-cdec-rec-april-2-2019.pdf; https://www.cda-amc.ca/sites/default/files/cdr/pharmacoeconomic/sr0570-eucrisa-pharmacoeconomic-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/SR0570-eucrisa-patient-input.pdf,atopic dermatitis,Do not reimburse,Complete,"May 25, 2018","Mar 27, 2019",SR0570-000
edaravone,Radicava,edaravone,https://www.cda-amc.ca/sites/default/files/cdr/clinical/sr0573-radicava-clinical-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/sr0573-radicava-cdec-rec-march-29-2019.pdf; https://www.cda-amc.ca/sites/default/files/cdr/pharmacoeconomic/sr0573-radicava-pharmacoeconomic-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/sr0573_radicava-patient-input.pdf,amyotrophic lateral sclerosis,Reimburse with clinical criteria and/or conditions,Complete,"Jul 5, 2018","Mar 27, 2019",SR0573-000
